comment,label
đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt thời_gian giao hàng rất nhanh nữa,0
thiếu hàng đặt thanh_toán tiền 2sp nhưng chỉ giao 1 m có trao_đổi vs nói sẽ bù tiền 1sp m nhưng đến ngày hẹn hỏi ko trả_lời lúc trả_lời lại hẹn hết lần lần khác cuối_cùng im_bặt luôn làm_ăn ko uy_tín chúc sớm sập,1
chất_liệu thun giả da làm đẹp thoáng,0
bếp dùng tốt đóng_gói cẩn_thận,0
hàng quá chật trong nhóc nhà minh chỉ mới có 2 tháng mấy,1
chất_lượng sản_phẩm tuyệt_vời đã đăth thêm 1 cái nữa,0
ngon nhưng hư khô cay vừa,0
đã rẻ rồi còn được tặng quà 3,0
sản_phẩm ko dùng dc ko muốn gửi lại trả vì gửi lại trả lại mất thêm tiền phí,1
mua đồ còn đc tặng buộc tóc xinh_xinh,0
gói hàng k cẩn_thận làm hộp méo quá nhưng sp tốt,0
chất_lượng sản_phẩm rất kém phục_vụ rất kém phục_vụ rất kém phục_vụ rất kém phục_vụ rất kém rất không đáng tiền rất không đáng tiền rất không đáng tiền thời_gian giao hàng rất chậm thời_gian giao hàng rất chậm thằng shipper cũng nhhư_lol đm tới đéo báo trước đéo có sđt đếm tiền,1
sài siêu thích giá lại mềm chị chủ thân_thiện thời_gian giao hàng nhanh đã vậy còn đc chị chủ bonus mấy cái sample lần sau e sẽ ủng_hộ chị tiếp,0
màu như màu hồng_sen ko ưng lắm,0
tạm đc chứ hok ưng_ý lắm tiền_nào_của_nấy thui,1
chất_lượng sản_phẩm rất kém ko xai dduoc cung ko đổi,1
chưa bao_giơ mong em ra nhanh như luc nay đê 4 5 xuông gia hot em vê đông phong chơi đơi moi cô qua,0
phục_vụ rất kém rất không đáng tiền chất_lượng sản_phẩm rất kém yêu_cầu giao màu tóc đỏ ghi rõ trong muc lưu_ý vay giao không đúng theo yêu_cầu của khách nói 1 đường giao hàng 1 nẻo nếu không có tóc màu đỏ báo mjnh biết còn đằng không báo âm_thầm giao 1 đống 6 cái màu đen luôn,1
giao hàng đúng hẹn 3,0
nhìn đẹp quá chạy android thấy không muốn mua rồi thích cái nghiêm_túc hơn phù_hợp đo vận_động hơn garmin fitbit thẳng tiến,1
sử_dụng dc 4ngày hết 1tuýp sẽ kết_quả ở bl đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn,0
hàng tốt giống quảng_cáo nhung hơi nho,0
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền thời_gian giao hàng rất nhanh,0
sách mới còn trong bọc nhựa giao hàng nhanh kinh_khủng,0
thời_gian giao hàng rất nhanh    sản_phẩm cũng tạm được   ,0
đặt mua tả quần size l 914kg giao tả dán size l 813kg tôi không trực_tiếp nhận nhờ ng_nhà nhận nên ko kiểm_tra được nhưng bán ntn phải giao như_vậy chứ đã mua ở shoppee rất nhiều thất_vọng,1
mua hàng của rất uy_tín,0
chất_lượng sản_phẩm rất kém đóng_gói sản_phẩm rất kém phục_vụ rất kém rất không đáng tiền dinh lua gat ng ta hay sao vay giao hang bi hu ma ko doi,1
bánh ngon lắm luôn nghe mn khen nhiều mới được thử y ăn xong nghiện luôn lại ord tiếp,0
nhờ người lấy hộ hnay bỏ ra ms thấy sp bị rách da gửi hàng k thèm xem trc lại gửi hàng lỗi,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn hy_vọng sài hợp kg bị gàu,0
sách bìa cứng tuy_nhiên ko bọc niloong cả trông như sách cũ đã để từ rất lâu khoản ko thấy hài_lòng chút đặt 2 quốn cùng lúc cuốn sách bố_già đc bao_bọc niloong rất cẩn_thận còn cuốn thép đã tôi đấy còn bẩn trông như sách cũ ý,1
vali chất_liệu nhựa trông đẹp khá chắc_chắn nhưng chỉ có quai_xách đứng k có quai_xách ngang có quai_xách ngang tiện xách hơn cảm_ơn nhé,0
giày đẹp sẽ còn ủng_hộ,0
dép nhẹ đẹp êm chân hài_lòng nhưng lớp vải giống bitis bên trong sợ nc thối chân,0
sóng hơi yếu không khỏe,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn được tặng quà nữa giao nhanh đừng nói tới luôn,0
ship hàng nhanh hàng ok,0
chất_lượng sản_phẩm rất tệkhông đáng tiền,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn sản_phẩm nhẹ mang rất thoải_mái,0
ship hoả_tốc đặt 12h trưa chiều 5h đã ship r haha gói hàng rất chặt ạ,0
vô_cùng hài_lòng c giáo hàng nhanh sản_phẩm tốt tóm_lại vô_cùng thích cảm_ơn nhiêu hì em biết tại bưu_điện ship lâu chứ giao hàng cưc nhanh chỉ sau 1 ngày,0
sản_phẩm của bị lỗi rồi  máy không hoạt_động mong nhanh_chóng đổi máy giúp  cảm_ơn,1
dat hang thi chi co 75 000 mien_phi van_chuyen do sendo khuyen_mai nhung giao van lay them phi van_chuyen 16 000 lam an kieu gi vay that vong sendo qua khieu nai thi doi_hoi co hinh vi dat hang thi khong chup lai nen lam sao gui,1
giao sai,1
chất lương kém kich sóng lên vẫn thấy sóg bt ko mah dc chuc,1
đóng_gói sản_phẩm rất cẩn_thận đẹp sản_phẩm nhìn ko bắt_mắt sạc điện_thoại pin dự_phòng nóng nạp đầy pin dự_phòng lên đủ 4 đèn để 1 đêm đến sáng mất 1 đèn sản_phẩm bán giá khuyến_mãi ảo,1
rất hài_lòng ạ cảm_ơn,0
đóng_gói đẹp khô_gà ăn ngon giòn cay vừa đủlần sau sẽ lại ủng_hộ tiếp,0
vải dc nhưng giao hàng lộn_xộn lại thiếu hàng,1
dùng k có muỗi xung_quang thật nhưng bán_kính 20cm thôi k phải 20m như quảng_cáo dùng tốt,0
đưa thiếu đồ_đồ cũng được nhưng tính tổng tiền rồi nhưng trong hộp đồ thiếu món,1
chủ có tâm hỗ_trợ hết_mình,0
 giao sai hàng đóng_gói sản_phẩm rất đẹp chắc_chắn,1
chất_lượng sản_phẩm tốt nhưng keo lem ra was,0
quạt chắc_chắn chất_lượng tốt tuy hơi nhỏ đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt thời_gian giao hàng rất nhanh,0
chất_lượng sản_phẩm rất kémmâm bị mớp_méothiếu óc bắt 4 chân gẩy chấu nói_chung rất tệ k đáng mua   ,1
