Index,Text,True Label,Predicted Label
23590,chất_lượng sản_phẩm tạm được đóng_gói sản_phẩm chắc_chắn giày 2 chiếc ko giống nhau không đáng tiền,0,1
23595,độ lên màu của loại không tốt phải kẻ nhiều lần mới lên được một_ít nhưng cho_dù không có màu nó vẫn mòn nếu nóng_vội mạnh_tay chì ra màu đậm nhưng bị bết cho_dù trước khá thích sp của maybelline vì hợp túi_tiền nhưng vẫn đành phải em 1 sao,1,0
23608,hộp thiết_kế ổn nhưng chất_liệu giấy flashcard quá mỏng mực in không được đẹp hình minh_họa chưa ổn đơn_điệu một_số không hợp nghĩa của từ,1,0
23610,form giày bị móp hộp đựng bị móp trong quá_trình vận_chuyển,0,1
23611,sản_phẩm đẹp nhưng dùng sau 1 thời_gian 1 tháng bị ko ăn bếp điện nữa có_vẻ chiên_xào mùi_vị k ngon bằng chảo bt,1,0
23612,hàng made in china nên k ưng lắm,1,0
23618,hơi lên rất ít thất_vọng ghê luôn mới mua dùng đúng 2 lần song hư luôn,1,0
23623,hương thơm không được lâu,1,0
23627,đóng_gói chắc_chắn nhưng hàng có xíu lỗi bị chóc sơn trên khóa vuông,0,1
23629,quyển sách nói về thói_quen xấu cách loại_bỏ chúng dù vậy nhưng nhấn_mạnh 5 thói_quen xấu phổ_biến không đặc_biệt nên hơi nhàm_chán,1,0
23641,đốt để qua đêm_sáng thấy có gián lật bụng ko biết trùng_hợp hay_là thật_sự có công_dụng,1,0
23680,sách rất hay giao hàng rất nhanh đọc đến trang thứ 26 đã bong gáy sơ_suất quá nặng_nề tác_phẩm tâm_linh xuất_sắc,1,0
23720,từ 25inh trở lên theo nên dùng màn 219 dùng lg 24mp88hm cảm_thấy nó quá đủ tầm mắt to hơn_nữa nhìn chói lắm nếu dung 169 vì màn_hình máy_tính thường ngồi cách 80 cm đổ lại 60 cm chốt lại thiết_kế em xấu còn chất_lượng chắc ngon ,0,1
23735,hàng cty cấp_cấp xong vứt ở nhà xài con xornet đỡ mỏi tay cơ_mà vẫn thắc_mắc dong thấp nhất nhưng éo bằng con misumi giá bằng 13 ,1,0
23739,hop voi gia tiền bo rako nen doi_hoi nhju hon voi gia_do,1,0
23749,cường_lực full màn_hình nhưng phần màu đen lại nhựa dẻo,1,0
23765,vị hơi lạt,1,0
23781,đồng_hồ đẹp nhưng đeo bị dị_ứng nổi nốt ngứa,0,1
23807,theo như_vậy đóng_gói sản_phẩm rất đẹp chắc_chắn nhưng_mà lịch ngày không tự_động chạy phải tự chỉnh có phải lỗi không vậy,0,1
23817,ship hơi chậm,0,1
23834,bắt sóng quá yếu,1,0
23877,khong_xai duoc thi lam sao danh_gia tot duoc,1,0
23922,lúc 5 sao khi_khi xài bị vô nước rồi kính bị trầy,1,0
23989,gói hàng cẩn_thận giao hàng nhanh nhưng bán khách hỏi k trả_lời,0,1
23993, bàn_phím chán đúng tiền_nào_của_đấy,1,0
23998,size nhỏ hơn so mô_tả chất_liệu vải quần được vải áo ko được tốt lắm hình in trên áo đẹp con tôi rất thích hình in có_điều mặc hơi chật,1,0
23999,chưa dùng nhưg bột mịn,0,1
24001,ghét hông thích cách làm_việc của giày có bao_nhiêu tiền đi_nữa cũng phải đóng_gói một_cách cẩn_thận phải đóng hộp lại đê trong túi ni_lông khiến giay bị biến_dạng,1,0
24016,giống hình sản_phẩm giá tiền vẫn đắt,1,0
24037,trục tâm bánh_xe bị lệch k ưng_ý sản_phẩm lắm,1,0
24044,giá_cả chấp_nhận được đóng_gói sp chưa tốt thời_gian giao hàng quá lâu,1,0
24059,màu_sắc ko dc giống ảnh lắm nói_chung tiền_nào_của_đâys thôi,0,1
24066,hang tot nhung de xem_lai roi danh_gia sao,0,1
24080,những thuơng_hiệu càng tạo sốt chừng càng đuợc khách_hàng chú_ý br giá_trị từ cũng tăng lên,0,1
24085,chán luôn ý,1,0
24086,không tới nỗi cảm_động sướt_mướt khá ngắn_gọn nên chắc chưa đủ lắm đọc giải_trí cũng okie chứ ngôn_tình nói_chung không nên cuồng_si quá bản_thân thấy như_thế không tốt,0,1
24122,lần đầu mua thấy đẹp mua thêm cái sau cũng loại quần vừa rộng vừa xấu   chào tạm_biệt,1,0
24159,1 bịch 250g khá nhìu thích ăn loại như bán cọng dày ko vụn vụn như mấy chỗ khác bán nhưng mùi lại khá nhạt ko đậm_đà lắm nhưng ăn khá ok nhé m n,0,1
24197,mua của cái rồi lại ưng cái khác phải làm s,1,0
24245,chê chịu chứ tôi sài quen iphone rồi chạy mượt không bị giật oki,0,1
24261,mua em phân_vân sản_phẩm bb của ponds phải nói cực_kỳ hối_hận lựa_chọn em nó có_lẽ vì kem chống nắng nên độ che_phủ hơi thấp chai nhỏ nhưng mỗi lần xài phải bôi rất nhiều mới che bớt được tí lỗ_chân_lông vết hay quầng_thâm khỏi nói luôn mặt không mụn trắng phải nói rất ít khuyết_điểm nhưng xài sản_phẩm còn thấy chưa hài_lòng nên khuyên bạn khuyết_điểm nhiều nên tránh sản_phẩm ra tuýp kem nắp ngược nên lúc mở ra hay bị ứa kem ra ngoài dù không bóp giá_thành quá đắt sản_phẩm như,1,0
24269,em tầm 4m may còn có người mua nếu dân yêu blackberry em ko có cửa còn dân công_nghệ chắc ko chọn em thật tiếc vì blackberry đã sai làn_đường ,1,0
24279,chất_lượng cam chỉ so_sánh được huyền_thoại cách nửa thập_kỷ nokia n73 ,1,0
24310,nên quán_triệt lại tư_tưởng từ quy_hoạch xây_dựng đến việc phát_triển bền_vững pos môi_sinh gìn_giữ văn_hóa cốt_lõi của thủ_đô vì hà_nội thủ_đô bộ_mặt của cả nước pos,1,0
24311,tôi dùng con dell xps 14z core i7 ram 8gb vga 2g máy không vấn_đề nhưng mấy cái cao_su viền màn_hình lởm quá dùng khoảng 4 năm mấy cái su bị thoái_hóa cứ mục đứt nên nhìn cái viền màn_hình như cóc gặm ,1,0
24329,voucher như mô_tả hài_lòng,0,1
24330,voi giá tien thi củng đc nhung da bị loi 1chuc,0,1
24348,sản_phẩm phù_hợp hiện_trạng da của tôi cải_thiện tình_trạng mụn dầu,1,0
24361,clay cực_kỳ oke v khó_chịu tý dùng tóc khô quá vì dòng clay nên vậy đành chịu v,1,0
24429,màu hơi sến,1,0
24455,phục_vụ rất tốt có_điều chất_liệu không giống như như hình,0,1
24475,chất_lượng sản_phẩm rất tệkhông đáng tiền,1,0
24496,gói sản_phẩm kỹ_lưỡng có cả chống sốc,0,1
24508,hang đjep,0,1
24575,loa nge to rè lắm ad,1,0
24585,bảo hỗn_hợp nhưng toàn caramen kẹo dâu chắc được tầm chục cái,1,0
24687,bỉn có mùi hơi hắc phục_vụ nhiệt_tình,1,0
24698,sao nhãn dán ngoài loan b bong tróc không biêt có phãi hàng thãt hay giã,1,0
24703,chuẩn hàng lắm mn ạhh lên tone nhiều ko hề lộ vân cả nên đố biếttt ko dính quần_áo xịt lên quần_áo đen cũg k dính,0,1
24796,nâng_cấp lên giá vẫn rẻ obi phân_khúc trùm rồi d,0,1
24798,kh dung_duoc iphone kh dung_duoc sam_sung mua ve de nhin thui ak,1,0
24835,đóng_gói đẹp nhưng pin ko bền nạp sạc dự_phòng cả đêm mới đầy sạc chỉ dc 1 lần hết ,0,1
24857,bàn_phím chán đúng tiền_nào_của_đấy,1,0
24866,thời_gian giao hàng rất nhanh những sản_phẩm rất ọk tuy_nhiên giấy đa_năng ngoài bìa có in rõ 300 tờ đếm chưa được 200 tờ lỗi do hay nhà_sản_xuất vậy,0,1
24867,mẫu_mã ok mới ghim điện text thử thấy xì khói chổ típ điện giửa bếp dây_nguồn nút chỉnh nhiệt_độ quá lỏng_lẻo nướng lâu chắc_chắn phần nhựa chổ típ điện sẽ bị biến_dạng,1,0
24869,sản_phẩm bình_thường tiền_nào_của_đó đặt 1 đằng đưa 1 kiểu,1,0
24887,ghế bom hoi mỏng qua nhanh hong,1,0
24905,chất son không thích lắm thêm mùi nhựa hơi nồng nên cũng k hứng_thú xài,1,0
24911,sản_phẩm như hình chỉ dành mấy em bé 12t,0,1
24923,bông mềm hơn nhưng cũng mỏng hơn đợt trước dùng,0,1
24924,mới nhận hàng dc 1 ngày hnay mới sử_dụng bật lên chỉ sáng đèn không phun sươngmong hỗ_trợ,1,0
24943,lần sau đừng đội_giá rùi ghi km nhé  hàng chấp_nhận dc,1,0
24946,chưa bao_giơ mong em ra nhanh như luc nay đê 4 5 xuông gia hot em vê đông phong chơi đơi moi cô qua,0,1
24972,son cực rít môi hối_hận,1,0
25006,chẳng làm mất được hết đúng tiền_nào_của_nấy,1,0
25055,san_phâm cung size vơi loai khac nhưng kich_thươc nho hơn mêm nhưng thâm hut không tôt lăm,1,0
25065,từ 2% lên 100% trong 2 tiếng 15p 6splus sạc 200k mua đc giá 126k sạc 10w phê vl chắc bỏ củ hàn để dùng sạc mất tiện_lợi vđ phục_vụ rất tốt,0,1
25077,sản_phẩm k đúng giao hàng sinh k thấy hàng khuyến_mại nhé đã nói,0,1
25082,tieng nge nho_xiu ko tot,0,1
25089, còn vans bình_thường 36 hoặc 37 đều ok nhưng nay lấy 36 rộng quá giày ok nhưng hơi bẩn còn có cả vạch bút dạ nên không làm sạch được,1,0
25100,đế giày bị nem màu chất_lượng sản_phẩm tạm được,0,1
25104,đóng_góp hơi lỗi 1_tí,1,0
25125,xài redmi3 nè nhôm nguyên khối chỉ kém phần 3d hơi thấp,1,0
25131,chất son lìít dưỡng những ko gây khô môi,0,1
25142,nước_giặt mùi thơm,0,1
25152,son màu cam đẹp hợp da ngăm da vàng son mượt không bột không khô môi,0,1
25175,sp tam_duoc nhung may bi ken vai thoi_gian co hag hoi_cham,0,1
25182,co mêm,0,1
25201,xin chức_mừng chúc hai em thành_công trong kỳ thi đại_học sắp tới,1,0
25214,nói s6 s 6 egde xanh lục_bảo người châu_á rất chuộng,0,1
25242,quạt ko tốt mới nhận hàng quạt ok lắm nhưng qua hôm sau ko quạt đc nữa,1,0
25298,khó mở nắp đóng_gói sản_phẩm rất đẹp chắc_chắn,0,1
25360,phục_vụ rất tốtnhưng sữa rửa_mặt có mui như hôi thật khó_chịu,0,1
25365,se hoi nho,0,1
25370,tui không có điều_kiện hoàn_cảnh nên tui ngại dùng iphone ghét cái iphone  ,1,0
25377,hàng đẹp vận_chuyển chậm rất chậm,0,1
25397,tiền_nào_của_ý,0,1
25412,màu cảm_giác hơi ngả đỏ vàng cơ_mà đc cái sắc nét nói_chung đẹp,0,1
25416,hàng bị vỡ 1_chút nhưng vẫn dùng được thời_gian đợi lâu qias,1,0
25436,chất_liệu ko thấm dc mồ_hôi măk ko thích chút,1,0
25438,mẫu ở ngoài ko giống h a lắmmàu ngoài đậm quá,1,0
25453,tôi hiện_nay chưa làm đường_sắt cao_tốc đúng cần tập_trung đầu_tư những lĩnh_vực nhằm nâng cao đời_sống của nhân_dân như điện nước làm cầu vùng_sâu vùng_núi hợp_lý hơn,1,0
25460,dung tien nao cua nay,1,0
25475, tại thoa nhiều sợ kích_ứng nhẹ sử_dụng cũng ổn nên thoa ít thôi,1,0
25496,sách rất hay giao hàng rất nhanh đọc đến trang thứ 26 đã bong gáy sơ_suất quá nặng_nề tác_phẩm tâm_linh xuất_sắc,1,0
25499,đế vừa rộng quai quá nên mang tuột luốt sản_phẩm y_hình đế êm chân,1,0
25509,nói thật thấy iphone vẫn trên cơ,1,0
25538,mua ở nhà người ta bán 20k ốp,1,0
25543,không thấy case silicon tặng kèm,0,1
25557,kg thom j cả it ra phải thom it cung dk,1,0
25589,đóng_gói chắc_chắn nhưng dầu_gội gội rất bí tóc ko mượt xem_lại chất_lượng sp,0,1
25598,buu_kien_hop thi bung bet nhu co nguoi cay ra dan lai chat_luong chua noi hinh thuc dong goi kemchan,1,0
25623,không ưng lắm bởi_vì không chọn được màu t thích ,1,0
25626,bền đẹp cc mới mua test bình_thường xài đc hơn 3h liệt chuột phải ngoại_hình dơ_bẩn dính đầy đất mồ_hôi tay đã lau sạch khuyên bạn định mua nên thôi mua cái mới chắc,1,0
25651,k đc xem hànng nên chưa biết ntn,1,0
25676,giao hàng đúng hẹn 3,0,1
25691, ý_tưởng của bạn rất hay nhưng vì xã_hội bị nhầm_tưởng về vấn_đề đa_cấp,1,0
25711,chứ không phải ios ngày_càng nặng_nề nên phải tăng ram gấp để chạy hửnếu màn 2k chắc pin đã yếu nay còn yếu hơn_nữa nhỉ,1,0
25719,be nha minh 17 5kg nhug mac ngan qua vai phu_hop gia 50k thoi,0,1
25738,hàng giống hìnhchưa sử_dụng nên cũng chưa biết chất_lượng thế_nào gói hàng cẩn_thận nhưng tờ hướng_dẫn sử_dụng bằng tiếng nhật nên không biết nấu thế_nào,0,1
25775,mới cắm điện sử_dụng lần đầu_tiên máy bốc khói mù_mịt đã gọi hotline nhân_viên nói sẽ đến lấy máy trong vài ngày nữa sẽ update service của tiki để bạn biết nhé,1,0
25791,hàng để nhiều hình giao mỗi 1 hình mua cả 20 cuốn đều cùng 1 chữ chán khủng_khiếp đáng_lí phải tin mấy đánh_giá của ng mua trc,1,0
25799,hag tam dc hag bi lem keo nhieu wa mjnh co luu_y nho kt truoc ma nhan hag kt thay lem keo rat nhieu lan sau luu_y chat_luong de kh hag yen tam,1,0
25805,đẹp nhưng dễ nước quá rửa nhẹ qua nc đã rồi chết ngay sau 3h ko dùng dc luôn,0,1
25831,làm_ăn tử_tế liên_lạc khách thường_xuyên để hỗ_trợ pin tốt hơn so loại không nhãn_hiệu trên thị_trường dùng tầm 1 5 đến 2h pin chưa thực_sự vừa khít laptop nhưng chất_lượng chấp_nhận được,0,1
25850,chất_lượng sản_phẩm cũng đc bị xướt vài nút đèn led rất ok mở hộp ra rơi 4 cái ốc nhưng dùng cũng đc lắm,0,1
25852,cáp sạc đẹp dùng được cốc sạc dùng được nhưng bị nhanh bị nóng,0,1
25862,con 9kg đặt size 4 1213kg để trừ_hao ai_ngờ quần lại bé xíu bé mặc vừa nhưng chắc sang thág chậc thôi dù_sao vải cũng ok nè tiền_nào_của_đó,0,1
25912,hàng chấp_nhận dc lần sau đừng đội_giá rùi ghi km nhé,1,0
25917,phich cắm 3 chấu ve k su_dung dc lien phai mua them phich cam hop ban them phich cam thich hop do mất_công,0,1
25944,hàng nguyên seal nhưng phát_hiện bị móp viền gọi tiki để hỗ_trợ như quy_trình dài_dòng để đổi lại được sản_phẩm mới hoàn tiền cảm_thấy mất thời_gian lôi_thôi nên đành sử_dụng luôn,1,0
25956,đưa thiếu đồ_đồ cũng được nhưng tính tổng tiền rồi nhưng trong hộp đồ thiếu món,1,0
25972,nhìn rất độc_đáo lạ,0,1
25980,hàng như hình đẹp nhưng form giày nhỏ quá mang chật đã lên 1 size r vẫn chật nhé,0,1
25981,hàng chắc_chắn may giao tới 6c k cái bị vỡ gương,0,1
25986,thời_gian giao hàng rất nhanh rất không đáng tiềndùng mấy hôm lại hỏng nhếch,1,0
25987,giày đẹp kinh_khủng_khiếp,0,1
26001,ủa sao đơn hang co 498k ma shiper thu 598 k vay e nhờ mẹ e lay dùmhn mới nhớ coi lại giá thấy có 498k,0,1
26003,đóng_gói sản_phẩm bị mở trước nhận chạy sai nói_chung chưa được hài_lòng,0,1
26006,son mau đo hông,0,1
26027,đóng_gói sp rất đẹp giao hàng nhanh nhưng sạc ko sử_dụng được cắm sạc pin sạc vào_điện nhưng pin ko sạc điện_thoại được chờ giải_quyết,0,1
26046,de tag 6 mieg nhug chi la lua dao khach hag ma thoi,1,0
26060,thời_gian đầu lúc nhận sản_phẩm kiểm_tra rất kỹ chân_đế sản_phẩm có biểu_hiện bị trầy rất nhiều ở khớp nối trục cố_định màn_hình tuy_nhiên tôi đã suy_nghĩ có_thể chất_liệu nó như_thế hoặc sp phải được kiểm_duyệt trước ra bán nên sẽ phải test tháo_lắp nhiều lần tin_tưởng tiki phần còn lại ok tôi tự_tin sử_dụng không cần đổi_trả nhưng sau gần 30 ngày sử_dụng sản_phẩm có hiện_tượng bung keo mép màn_hình bị hở sáng ngay chỗ keo bị bung tôi đã liên_hệ một_số chỗ bán hàngthi được báo sp mua hàng trưng_bày nên nó mới như_vậy thiết_nghĩ không biết có đúng như_vậy không nếu thật tiki nên xem_lại hàng_hóa của tuy rẻ hơn bên ngoài chỉ 2300k nhưng tôi vẫn người bỏ tiền để mong nhận được sản_phẩm đúng chất_lượng chứ không phải hàng trưng_bày bị lỗi nếu vậy tôi thà chấp_nhận bỏ cao hơn một_chút để nhận được sp ưng_ý nhưng vì đã mua khá nhiều hàng trên tiki rồi nên cũng khá tin_tưởng lần thất_vọng thật_sự,1,0
26106,hạt đậu ăn giống đậu_hà_lan mù_tạt hơn vị quen_thuộc hơn 5,0,1
26112,đóng_gói sp kĩ chơi ko rách,0,1
26115,băng_dính nặng cầm sắp nổi luôn chuột ở tay,0,1
26241,máy dùng tốt máy màn_hình đẹp nhưng pin không đủ đáp_ứng nhu_cầu của chơi liên_quân 15 phút hết khoảng 7% pin,0,1
26266,quá thông_minh 1 like to samsung,0,1
