comment,label
Đèn xông giao k như hình Tinh dầu không thơm dai phải nhỏ rất nhiều thì mới bay mùi được. Tổng đài Tiki support tốt. Không hài lòng về chất lượng.,1
"""Nhìn hoàn thiện có vẻ đc nhỉ""",0
Size nhỏ hơn so với mô tả. Chất liệu vải quần được vải áo ko được tốt lắm hình in trên áo đẹp con tôi rất thích hình in có điều mặc hơi chật.,1
"T rất khó chịu khi chai toner sample mà cũng làm giả đc là sao1. Quét barcode ko hiển thị web chính hãng kiehl's mà toàn web chợ mỹ phẩm việt 2. Chữ Kiehl's bong tróc, lấy tay cào nhẹ mực bong tùm lum 3. Code chấm chấm ( hàng thật in đậm ko chấm chấm) ",1
Giá tốt sản phẩm chính hãng.,0
Chất lượng tuyệt vời bao bì đẹp chủ shop yêu yêu. Gói hàng cẩn thận chăm sóc khách hàng như người thận. 100 cho chất lượng và dịch vụ. Cảm ơn shop nhé Đóng gói sản phẩm rất đẹp và chắc chắn,0
Chất lượng sản phẩm tuyệt vời. Shop co tang qua nua. Gia re nhiu,0
Chất lượng sản phẩm tuyệt vời  Đóng gói sản phẩm rất đẹp và chắc chắn  Shop phục vụ rất tốt Sẽ ủng hộ shop trong thời gian tới,0
Thời gian giao hàng rất nhanh giá rẻ mà giày cực chất! Êm chân lắm.thanks shop nhiều,0
Chất lượng sản phẩm không đúng như mong đợi cân cùng 1 lúc ngắt quãng nhưng lại cho ra số kí khác nhau. Không hài lòng TIKI ơi,1
Giao hàng nhanh.hàng gần như mới.lắp phát ăn luân.chơi lien minh tốt.hang tốt,0
Phao chất đẹp. Mềm . Nói chung là ưng ạ,0
Sản phẩm rất ổn chắn chắn,0
Tiền nào của đấy ạ :))) ,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn. Nhung ao hoi nho. Con minh hon 9kg minh mua size 12 va 14 kg nhung mac hoi chat.,0
led sáng đẹp usb có led đẹp ok,0
combo 5 sp giao combo 4sp 5 thành 4 bớt 1 là sao?,1
Chất lượng sản phẩm tuyệt vời m mua với giá sale 215k,0
Ms mua xong mà kim giây nó cứ đứng rút cái chỉnh h ra xong đóng vào ms chạy đc bt bị mấy lần liền haiz coi như mât 100k,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh chủ shop dễ thương.  Chúc shop đắt hàng nha.,0
sản phẩm kém chất lượng. bỏ vô giày đi thử mấy bước.  là 2 miếng bị tách ra khỏi nhau. 1 miếng bị gãy mất 1 chân . vứt luôn 72k vô sọt rác .,1
Các ốp giá siêu rẻ còn lại đẹp nữa. Chất lượng sản phẩm tuyệt vời. Shop phục vụ rất tốt. Rất đáng tiền. ,0
Gấp gọn ko chiếm diện tích nhưng Cốc nặng mùi hóa chất. Các vành gấp mỏng. => Vote 1 sao cho sản phẩm. Shop phục vụ tốt chăm sóc khách hàng tốt đồng ý sẽ đổi trả hàng lỗi. + 1 sao,1
"""5s len 9.3.2 tốn pin hơn""",0
. Sop ah cho minh hoi tai sao cu dang xem phim lai bi gian doan mat 2-3giay co luc toi hon 10giay ySop giai quyet giup minh voi Ma sao muon tai phim ve cung kho lam hau nhu k tai duoc,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp sang pham gât tôt Đóng gói sản phẩm rất đẹp và chắc chắn,0
Giầy đẹp lắm shop. Gái nhà mình rất thích,0
Chất lượng sản phẩm tuyệt vời.  Rất đáng tiền.  Shop phục vụ rất tốt.  Thời gian giao hàng rất nhanh,0
Không tìm thấy hạn sử dụng đâu cả nên mình không dám dùng,1
mỗi sp Nescafe đều có để tặng ly giữ nhiệt khi mua hóa đơn 130k  khi nhận hàng thì ko thấy quà tặng đâu. đọc conment mới thấy tiki nhắn đã hết sp tặng kèm. hy vọng lần sau Tiki sẽ khắc phục tình trạng này. Thanks.,1
Đóng hàng chắc chắn giáo hàng sieu nhah giá rẻ sp đc,0
"""chưa có cách khắc phục nhé mang đem đi bảo hành rồi mà vẫn bị chả hiểu sao logitech kêu xài bt ..... thôi về cắm cái cục kia vô xài luôn cho lành. đồ rẻ rẻ thì ok đụng vô đát tí thì bị tè le""",1
Đẹp lắm ạ xinh ơi là xinh em phải mua thêm cho cả nhà mỗi người 1 đôi hihi,0
Hàng chất lượng. Rất đẹp,0
Mình nhận được hành rất ưng ý về sản phẩm mà  Thời gian giao hàng rất nhanh. Hi vọng rằng shop có nhiều đợt khuyến mại hơn để mình sắm được nhiều hơn ạ,0
Vải mỏng.o đep dày dặn nhu hinh,0
"Không nên mua chuột cua Logitech, vì dùng nó rất khó đổi cái mới. Mình nghe thằng bạn xúi mua con M325 cách đây 5 năm, dù có cơ số lần rơi rớt quăng quật mà đến giờ vẫn chưa hư. Giờ đang thèm em MX Anywhere 2 này mà chuột cũ chưa hư sao mua chuột mới!",1
Mở hộp thấy hơi lạ vì lông cầu không thẳng đứng mà cong về 1 phía và còn hơi bị tưa như cầu cũ đánh thử 2 trái đều bị xoay và lắc đập 1 phát thì gãy lông. Bỏ luôn 2 hộp cầu mới mua chứ dùng làm cầu dợt cũng không được.,1
Lần này thịt bò của mình hơi bị cháy nên ăn bị khô.,1
Áo đẹp nhg fom hơi bé,0
Son đẹp lắm ạ. Còn được tặng kèm mặt nạ viên nén nữa. Ủng hộ chị dài ạ 💕,0
Chất dày dai ổn điểm trừ một chút là có vết bẩn trên thảm. 5*,1
Sp chắc chắn nhưng giao hàng chậm. ,0
Bìa sách đẹp mà bên trong giấy trắng chói hết cả mắt cảm giác như đọc sách photo chứ chả phải sách mua của NXB nữa. Nôi dung thì đọc tới trang 31 thì quá là chán không biết tại mình kém hay sao mà đọc thấy lang mang dài dòng mà rốt cục cái kết chả dính gì với cái mở đầu kiểu lạc đề thì phải. Quá là khó chịu lên đánh giá 1* rồi đọc tiếp ?,1
Giày đặt 3 đôi giao 1 đôi vẫn phải trả tiền 3 đôi đặt màu đen giao màu trắng đặt size 39 giao size 40 nhưng mình vẫn lấy đôi này rồi kêu shop chuyển tiền 2 đôi kia lại cho mình shop nói ok. Vậy mà mình hủy trả hàng hoàn tiền rồi vẫn không ai rep,1
Lông bên ngoài khá mềm nhưng lông bên trong hơi thô màu hồng đất hơi tối. Nói chung thì áo khá ok. Cái tay phải lận lên thì mới giống hình quảng cáo.,0
Mask thật sự chất lượng tuyệt vời dùng xong không bị dính nhớp. Sáng hôm sau dậy thì da mặt căng mềm mịn lắm luôn mà giá siêu yêu nữa dùng hết chắc chắn em sẽ ủng hộ shop tiếppppp.,0
Nước hoa hồng rất lành tính (da mình nhạy cảm nhưng không gặp bất cứ vấn đề gì) mình khá thích em này chai dùng được rất lâu chị chủ shop nhắn tin rất nhiệt tình nữa mình thích ai nhiệt tình nhắn tin trả lời khách lắm. Sp đáng tiền k gây kích ứng làm dịu da tốt có mùi hương nhẹ dễ chịu lắm,0
Trả lời tin nhắn quá chậm (phục vụ không tốt) gọi đt thì lúc bắt máy lúc ko  Shop phục vụ rất kém Rất không đáng tiền,1
Chất lượng sản phẩm tuyệt vời chất kem hơi dày massage lên vùng mắt khoảng 3-4p thì kem thấm hoàn toàn sản phẩm dưỡng ẩm khá tốt,0
"Khi nhận được sản phẩm mình đã rất hối hận khi không xem kỹ review trước khi mua. Ban đầu mình chỉ có ý định mua bấm mi nên khi nhận được cả bộ thì cũng không để ý lắm vì thật ra ngoài bấm mi ra những cái khác như kéo nhíp lược...mình đều không dùng được. Tuy nhiên bấm mi cũng chỉ dùng được 3 ngày rồi không dùng được nữa. Mình cũng thừa nhận vì thấy giá rẻ nên mua nhưng chỉ nghĩ là Tiki giảm giá cho khách hàng mà thôi, không ngờ chất lượng tệ như vậy.  Mong Tiki chú ý hơn về chất lượng sản phẩm để không mất đi khách hàng quen thuộc. ",1
đóng gói đẹp và chắc chắn. Bao bì kem nhìn xịn xò. hiệu quả thì phải dùng mới biết được. giá siêu yêu ;),0
Đúng như hình. Shop nhiệt tình. Giao hàng nhanh.,0
Không đúng như giới thiệu trên. Son bị bở như để lâu bị hỏng. Không được bóc hàng xem trước khi nhận hàng. Đồng ý lấy và bóc ra xem thì son bị thế này. Không dùng đc. Chán quá.,1
sp moi sd hom nay nen chua ro. nhung kem sen set la ok. 51.000 d la 1 hay 2 chay vay Sendo,0
Tuyệt   shop giao hàng nhanh sản phẩm đúng màu,0
. nói chung Chưa xai chua danh gia,1
Sp giống hình mềm. Shop phục vụ rất tốt,0
. Nói chung là sản phẩm rất ok!  chắc do vận chuyển!  Đi không nặng chân lắm . tuy nhiên nhưng mũi giày hơi bị móp . Giày đẹp y hình,0
"sản phẩm rất đạp, sh phục vụ dth . Mik chắc chắn sẽ mua hàng  1 lần nx!!! ",0
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. Mình chưa sử dụng nên chưa biết thế nào .,0
Chất lượng sản phẩm tuyệt vời.  Rất đáng tiền  . Chất liệu  vải và đường may rất đẹp  . Mình sẽ  ủng hộ shop dài dài.,0
Vừa hết bảo hành là hư. Tiki nên kiểm tra kĩ nguồn hàng,1
.  Phục vụ kém,1
Chất lượng sản phẩm tốt  giao hàng nhanh,0
Thời gian giao hàng rất nhanh.  Chất lượng sản phẩm tuyệt vời!,0
Chất lượng sản phẩm rất kémDùng đc tuần thì hỏng cho dù k bị rơi hay va chạm mạnh lúc gửi thì k có dây sạc Thật sự k đáng tiền ,1
. Quá thất vọng  Chất lượng sản phẩm rất kém kg phải cotton  Rất kg nên mua vì mua về cũng mặc kg đc,1
Mình k biết hàng giao đã bị hư hay do bên giao hàng trong thời gian vận chuyển bị hư? Nhưng hàng mình nhận được lại bị gãy tay quay bao gồm tất cả các sản phẩm trong hình mà khi giao thì không đủ như hình. Thiếu tới 2-3 món. Thật sự thất vọng và sẽ k bjo ủng hộ thêm lần nào.,1
Sao e xem các hình thấy HTC 10 hay đẩy iso lên khi bắt đầu hơi thiếu sáng nhỉ =.=' Selfie thấy cũng hơi bệt,1
Sp tạm dùng được,0
Nồi màu hồng rất xinh mình rất thích  sẽ tiếp tục ủng hộ shop,0
mẫu thì được. có điều chất lượng kém. xai duoc 1 tuần tróc sơn. gỉ sét....,1
Rất đáng tiền. good,0
Chất lượng sản phẩm tuyệt vời đóng gói an toàn,0
Son lên màu đẹp.lì mịn  Chất lượng sản phẩm tuyệt vời,0
Muối ngon mọi người nhờ đặt hoài ủng hộ shop dài dài,0
bánh date rất mới..ngon..sl >90c..ít xẹp..cân đủ..chủ shop rất dễ thương..👌👌,0
Giao đúng mẫu. Tuy nhiên bọc hàng chưa chắc chắn lắm. Cần có băng dính ở đầu nắp chai nước tẩy trang để tránh trường hợp trong lúc vận chuyển nắp chai bị mở nước đổ hết ra ngoài. Thêm nữa thời gian giao hàng quá lâu. Gần 1 tuần mới nhận được hàng. nói chung chưa được hài lòng lắm,1
Ok chat lieu mat me,0
sản phẩm rất chán. giấy thì xấu như sách lậu vậy. Nội dung thì cực nhàm chán và ngớ ngẩn,1
. Giữ sai màu,1
" Chất lượng sản phẩm rất kémSạc đểu, sạc ko vào điện, dùng 1 lúc là hết pin  Rất không đáng tiền",1
Thời gian giao hàng chậm Chất lượng sản phẩm kém Không đáng tiền,1
Chất lượng sản phẩm tuyệt vời Lần 2 mua ở shop này...Rất tin tưởng,0
Không như trong hình và nhỏ hơn tôi nên cho tôi đổi lại được không,1
Giao hàng nhanh. Hàng đúng chuẩn như hình. Chất lượng thì phải đợi tgian kiểm chứng,0
Giày đẹp giống hình ❤,0
Sách đẹp mình đọc thấy rất tốt ý nghĩa khuyên mọi người nên mua trong thời gian học sinh sinh viên này. Sách hay. Bìa dày. Giấy đẹp. Cảm ơn shop rất nhiều,0
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời,0
Hai bộ mà size k bằng nhau quần màu xám thì bé hơn quần màu xanh áo màu xanh thì rộng hơn áo màu xám bộ xám bé mặc k vừa màu xanh thì vừa m đặt hai bộ cùng size mà giờ bộ vừa bộ ko.,1
Sao dang cam dien sac thi khong quat duoc Shop. Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,0
Hàng y hình rất đẹp và chắc chắn. ,0
Hàng này chưa giao . Nên shop  mau tính lại cho e,1
Chất lượng sản phẩm rất kém Shop phục vụ rất kémBán hàng kiểu trí tráảnh của shop có 2 khoá chính mà giao cho khách túi 1 khoáchả đáng bao tiền nhưng mua sự bực mình vào ngườicảm giác bị lừa rất ức chế.khuyên anh em không nên mua hàng ở shop này,1
Màu đẹp giao nhanh chất lượng tốt ,0
Giao hàng date cũ sx từ tháng 11/2017,1
Vừa bóc hộp ra là đã thấy gãy làm đôi. Khá thất vọng shop khi không được hỗ trợ,1
Hàng ko dùng đuọc,1
Đặt size 42 shop giao 43 làm ăn không ra gì :),1
Cũng khá ok so với giá tiền. Giao hàng nhanh shop cũng nhiệt tình. ,0
Mẫu còn nhiều chỗ bị xa xảy nứt mẻ nhiều,1
Có tem dán trên nắp chai nói chung là rất tuyệt vời ;))),0
Chất lượng sản phẩm tuyệt vời mà mũi giày hơi móp 1 chút. Rất đáng tiền,0
Hang trung quoc.k hai long,1
Shop dễ thương trả lời nhanh nhiệt tình ship hàng có kem note rất dễ thương,0
Túi to đẹp !,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Hàng quá ngon trong tầm giá hi vọng là bền :3,0
Màu cực xinh ạ 😍,0
Thời gian giao hàng rất nhanh Phù hợp với đồng tiền Đóng gói sản phẩm rất đẹp và chắc chắn,0
Kém chất lượng k đúng mô tả,1
Rat OK. Thom. gion .beo  Gia tot Ths shop,0
theo như vậy không thấy tặng đường như đã nói trên cảm thấy tiki bán hàng không có tâm không hài lòng về cách phục vụ mong tiki khắc phục,1
Chất lượng sản phẩm tuyệt vời. Buồn cái là tem bảo hành nó ..,0
"""Xuống"" quá rồi BB ơi, anh hết muốn yêu em rồi !!!",1
cái này rất chán ko cố định được lưng ghế; bên trong độn mút.,1
Chất lượng sản phẩm tuyệt vời dung ok,0
k hai long sai thi song k co ma ban phim thi phu,1
Nút bấm bị cứng không bấm được đã gọi yêu cầu trả hàng. Nhà bán hàng nên kiểm tra kỹ sản phẩm trược khi giao để tránh mât thời gian cho cả 2 bên cảm ơn.,1
Mình đã dùng sp mua trong đợt km  cảm giác khi vừa dùng xong rất thích nhưng chỉ vài tiếng sau thì ngứa ngáy toàn thân mà ngứa cả 2 tuần mới hết. Xong rùi cũng thử lần hai xem thế nào kq cũng thế nên mạnh dạn cho em ấy vào thùng rác luôn.Mình nghĩ có lẽ bột cám gạo này nguyên chất đến nỗi còn cả tạp chất chưa được lọc bỏ hay sao í. Bùn!,1
Lưới là đồ free có khác:))) dùng 1 ngày rách luôn,1
chất lương sản phẩm kém,1
giày quá đẹp so với giá tiền Rất đáng tiền giao hàng hơi chậm,0
cơm ngon nhưng gà hơi cứng và ít Đóng gói sản phẩm rất đẹp và chắc chắn,0
Shop giao lộn đơn hàng mong shop bán đồ có tâm dùm,1
Mua dây câu 4.0 chuyển dây 6.0 vãi quá shop,0
Chất lượng sản phẩm rất kém dùng được 1 2 hôm đã hỏng,1
gói hàng như gói quà. gọn đẹp. chất lượng máy chưa nói được . rep ib em shop ơi . vote 5 sao cho sự nhiệt tình,0
Vận chuyển ít xốp đặt 2 bình bị móp 1 bình,0
Giao hàng 2 lần đểu giao k đúng size 2 bé size khác nhau mà cứ giao cùng 1 size rất bực mình,0
Chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền,0
"""Mình xin phép đánh giá là màu hơi kém tí""",1
Hài lòng vs sản phẩm,0
"Hình thức :thành nồi bị méo ,kênh nắp  Chất lượng chưa biết tn",0
Rất đáng tiền..Shop phục vụ rất tốt,0
Chất lượng sản phẩm tuyệt vời. Nhưng cái chốt khóa bị kẹt bởi nút bấm,1
Chất lượng sản phẩm tuyệt vời.  Chỉ ức chế với thái độ của bạn shiper ghtk thôi.,0
Chất lượng sản phẩm Tam dược nhưng pin bi lỗi  Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,0
Cái thứ hai mua ở đây ok đấy,0
Chất dep .nhung bị lỗi1 quần bị nối ở đùi.,1
Nồi đun lâu sôi. ,1
Chất lượng sản phẩm kém. Sai màu,1
Ốp tương đối đẹp rất oK so với giá tiền,0
giày rất đẹp và rẻ đóng góp cẩn thận. Sẽ ủng hộ shop tiếp ,0
. Ngày sạc 2 lần dù nghe gọi chỉ vài cuộc vì làm máy sơ cua .  Thất vọng toàn tập   **sau khi phản ánh đã có nhân viên của shop liên lạc để hỗ trợ m  nhìn chung Chất lượng sản phẩm rất kém Rất không đáng tiền   Chờ xem shop hỗ trợ ntn đã🤔 . Tạm cho 3*  Pin rất tồi dù m đã sạc rất lâu mấy lần đầu .  Phục vụ rất tốt,1
Kích thước nhỏ không đúng mô tả các thanh nhôm mỏng chịu lực kém !!!!!!!!,1
Sản phẩm không tốt máy hở màn hình.van chuyen tot,1
Để làm gì khi công nghệ này lúc đó đã lỗi thời?,1
Chất lượng sản phẩm tuyệt vời vừa wax xong tueongr đau lắm nhưng cũng bt lần đầu wax nhưng ưng lắm chỉ còn chờ xem lông lại ntn.  Đóng gói sản phẩm rất đẹp và chắc chắn,0
Giày rất đẹp rất đáng để mua  Cam ơn shop nhìu ,0
Nhận đc quà. Cảm ơn shop. ,0
Đeo được nửa ngày đứt luôn quai. Dc cái nhìn đẹp. :))) ko nên mua.,1
Mau ma dep. Đóng gói sản phẩm rất đẹp và chắc chắn,0
Sản phẩm rất đẹp.. giao hàng nhanh.. rất hài lòng về shop 😄😄😄,0
Đóng gói sản phẩm rất đẹp và chắc chắn.  Thời gian giao hàng rất nhanh. Mùi hương dễ chịu tác dụng mềm mịn và trắng thì phải trải nghiệm một thời gian xem thế nào. Hy vọng đạt kết quả tốt!,0
Cái cốt vặn lỏng le..chỉnh giờ cứ chạy bạy,1
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Hàng rất đẹp,0
Nhắn tin shop không trả lời phục vụ rất kém còn gửi sai màu 😞😞.,1
Sản phẩm đóng gói rất đẹp và gọn mình rất thích đồ rất chất lượng^_^,0
Hàng fake. K đúng với màu của bao bì sản phẩm,1
Đóng gói chắc chắn. Có quà tặng kèm cungz vui. Chất lượng sản phẩm chưa sử dụng nên chua đánh giá dc. Chỉ có cái giao hàng quá lâu. Đúng 7ngay,0
Giao hàng rất nhanh  son lên màu cực thích luôn,0
Chất lượng sản phẩm tuyệt vời. Mỗi tội đơn vị vận chuyển chậm quá. 5 ngày mới nhận đc ~.~,0
"""nhìn đẹp phết nhỉ..""",0
Sách bị lỗi từ trang 81 đến 96 không thể đọc được. Đề nghị tiki đổi lại sản phẩm,1
Ko đúng hàng giao có 2m7 không có mồi giả luôn đặt 3m giao 2m7 coi như tôi bi lừa,1
Đóng gói sản phẩm rất đẹp và chắc chắn sản phẩm tuyệt vời,0
một tác phẩm xuất sắc như thế này thì nên được nâng niu và trân quý :) chứ không nên để sự hời hợt khi đóng gói làm móp méo nó đâu tiki ạ :) khá thất vọng :),1
máy kém chất lượng dùng đơ cúng cả máy mà ram có 1ghi,1
Hết sảy.... Nhâm nhi cả ngày ko chán :)),0
"""Quá thông minh. 1 like to cho samsung""",0
Chất lượng tốt nhưng shop phục vụ kém ,1
Tôi biết là tôi mua hàng fake rẻ tiền. Nhưng ít ra cũng phải đc 15 hoặc 30 ngày chứ. Mới đi đc 2 lần ông nội ơi.  Chất lượng sản phẩm rất kém Đóng gói sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,1
Giao đúng loại hàng. Cảm ơn sh nhiều. Rất đáng tiền,0
ngàn like cho shop♥️♥️♥️♥️♥️,0
. Lần đầu đánh giá 1 sao,1
Đóng gói sản phẩm rất đẹp và chắc chắn. Thực sự rất hài lòng. Tư vấn nhiệt tình lịch sự. 5sao *****,0
Bảo lấy màu trắng lại giao đen,1
 Chất lương ổn,0
Giàn phơi rất yếu không đứng vững rất đễ ngã.,1
Giày đi bị bè ra rất xấu,1
Chất lượng sản phẩm rất kémpin 18000 mà dùng ko bằng pin 1000,1
Dùng rất thích. Da mình là loại da mẫm cảm mà dùng loại này rất mê luôn. Da đẹp lên trông thấy đi làm ai cùn bảo dùng cái gì da đẹp mướt mà trắng vậy ý. Sẽ ủng hộ shop dài dài luôn. Chủ shop dễ thương tư vấn nhiệt tình nữa chí.  😍😍😍,0
Chị shop phục vụ quá tận tình dễ thương..😍😍 màu son đẹp tuyệt vời😱😱...tặng shop 100* luôn nhé 💖💖💖,0
Nhìn hình thì đồng hồ đẹp khi giao hàng thì đồng hồ khác so với hình,1
Đã hư 1 cái sau 1 tuần mua,1
Rất hài lòng chất lượng tốt so với giá tiền có dịp sẽ ủng hộ shop,0
máy mua về xài được 2 lần đã bị cháy.... không có phiếu bảo hàng giờ coi như mất 600k .... chán,1
.  kim giờ ko chay dc đồng hồ lỗi roi toi muon trả hàng,1
Chất lượng sản phẩm tốt giống như trong hình  ảnh .Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh,0
Mua lần 2 rất ưng ý.hàng đẹp chủ shop tư vấn nhiệt tình.  Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn,0
Lần đầu tiên mua hàng onl thấy ưng ❤️❤️❤️,0
Vớ tựa vớ da.   Rất đáng tiền,0
Đẹp các bác à hheeh,0
Chất lượng rất tốt với giá tiền hàng giống ảnh thật. Cảm ơn shop,0
mới ghé shop lần đầu mọi thứ đều OK.  chắc chắc sẽ ghé lầm nữa 😍,0
Khô gà ướt,1
Thảm dày dặn đẹp. Vận chuyển hơi lâu,0
Shop phục vụ rất tốt. Giao đúng màu. Chăn đẹp sờ rất thik🤩,0
Chất lượng sản phẩm tuyệt vời. Mỗi tội chờ hơi lâu.  Rất đáng tiền,0
Lần đầu tiên mình mua hàng ở shop này mà mình ưng ý cực kì . Thứ nhất là hàng đẹp  màu lên đúng tone  và mình đã check thử thì hoàn toàn là hàng thật nhé nhé . Thứ hai là chị chủ shop nói tư vấn rất tận tình rep ib của khách cũng rất nhanh nữa . Nói chung là hàng tuyệt vời .,0
đánh chữ thì toàn bị nháy thành 2  hơn nữa 3 lần (ví dụ: n thành nnn)   Nói chung là thất vọng . nhìn chung Shop bảo hành 12 tháng thì bây giờ đổi hay trả hàng hay như nào thì chỉ mình với .  Chất lượng sản phẩm kém K choi game duoc,1
Hang không như hình,1
Chất liệu vải dạ k như mong đợi. Nhìn đẹp dùng k đc tốt. Phù hợp giá tiền,0
"""Nâng cấp lên mà giá vẫn rẻ, Obi phân khúc này trùm rồi :D""",0
Mua shop lần thứ 2 vẫn ưng như lần đầu sẽ ủng hộ shop dài dài,0
Núm mềmbé rất thích.sẽ tiếp tục ủng hộ shop,0
Chuột không xài đc,1
Chất lượng sản phẩm tuyệt vời Giày rất đẹp và chắc chắn mang êm chân nữa,0
Giá quá đắt! 40k cho 22 lá bài :) Mình không mua giá sale vì nghĩ đó là cả bộ thì 40k cũng là ok 😨😨😨 Ai ngờ có 22 lá,1
Chất đẹp lắm,0
Dong ho nay sam lam ban do tao lao bi mat dung mua nha moi nguoi Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém nhung shop cung co phan hoi nen cung thoi chu e ko co thoi jan doi ma cung ko bit cach gui nen thoi di,1
Sản phẩm nguồn gốc không rõ ràng (mã vạch của cục phát wifi của trung quốc thì phải). Chất lượng thì cũng không có gì nổi bật.,1
Hàng giá rẻ sợ nhất là giặt ra màu nhưng 10 bộ như 10. Giặt ngâm đã lun cũng ko sao. So với giá thì chất vải là tuyệt vời ạ. Bộ nào cũng ưng hết á. Thấy hàng là giặt ngay để feedback shop chính xác nè. 5 sao cho shop ạ.,0
sản phẩm bị lỗi sọc ngang màn hình + bể bên góc. shop coi lại dùm mình đổi cho mình sản phẩm khác,1
Chất lượng sản phẩm tuyệt vời  Đóng gói sản phẩm rất đẹp và chắc chắn  Shop phục vụ rất tốt Chưa nhận được mã voucher 50k nha shop Đã nhận được mã voucher 50k. Cám ơn shop,0
shop gui thieu hàng.nt k tl,1
Chất lượng sản phẩm kém:đi đau chân. Tiền nào của ấy,1
Chất lượng sản phẩm tuyệt vời shop uy tín sách đẹp Rất đáng tiền Thời gian giao hàng rất nhanh,0
TÔI RẤT HIỀN NHƯNG ĐỤNG ĐẾN LÀ SẼ RẤT PHIỀN . T SẼ KIỆN về cách làm ăn của MẤY NGƯỜI .  Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền . Cân ko chính xác  ĐÃ VẬY nhận lại hàng trả lại còn ĂN LUÔN TIỀN HÀNG CỦA KHÁCH KHI YÊU CẦU TRẢ HÀNG HOÀN TIỀN NỮA . Shoppee làm ăn như c,1
giao sai hàng yêu cầu trả/ đổi mà ko thấy phản hồi,1
Thơm ngon dễ uống. Shop phục vụ rất tốt. Thời gian giao hàng rất nhanh,0
Shop phục vụ rất kém. Khách đã ghi chú trog đơn hàng 2 thẻ hành lý là KHÔNG lấy hình Doremon. Vậy mà phát cho mình 1 cái doremon. Giao hàng chậm ơi là chậm. Order từ tết mà đến ngay 2.3 mới có,1
.  .  Đặt màu đem thì giao màu xám,1
